"","trt","treatment","rep","start_day","time","event"
"108","PVEC-12","PVEC","12",42529,15,1
"109","PVEC-12","PVEC","12",42529,15,1
"110","PVEC-12","PVEC","12",42529,15,1
"111","PVEC-12","PVEC","12",42529,15,1
"112","PVEC-12","PVEC","12",42529,15,1
"113","PVEC-12","PVEC","12",42529,15,1
"114","PVEC-12","PVEC","12",42529,15,1
"115","PVEC-12","PVEC","12",42529,15,1
"116","PVEC-14","PVEC","14",42530,14,1
"117","PVEC-14","PVEC","14",42530,14,1
"118","PVEC-14","PVEC","14",42530,14,1
"119","PVEC-14","PVEC","14",42530,14,1
"120","PVEC-15","PVEC","15",42530,14,1
"121","PVEC-15","PVEC","15",42530,14,1
"122","PVEC-15","PVEC","15",42530,14,1
"123","PVEC-15","PVEC","15",42530,14,1
"124","PVEC-15","PVEC","15",42530,14,1
"125","Gno-16","Gno","16",42530,14,1
"126","7636-14","7636","14",42530,14,1
"127","10862-12","10862","12",42529,15,1
"128","10862-12","10862","12",42529,15,1
"129","2b-11","2b","11",42529,16,1
"130","4d-16","4d","16",42530,15,1
"131","11c-14","11c","14",42530,15,1
"132","11c-14","11c","14",42530,15,1
"133","16i-13","16i","13",42529,16,1
"134","16i-13","16i","13",42529,16,1
"135","16i-13","16i","13",42529,16,1
"136","16i-13","16i","13",42529,16,1
"137","16i-13","16i","13",42529,16,1
"138","16i-15","16i","15",42530,15,1
"139","16i-15","16i","15",42530,15,1
"140","16i-15","16i","15",42530,15,1
"141","16i-15","16i","15",42530,15,1
"142","16i-17","16i","17",42531,14,1
"143","16i-17","16i","17",42531,14,1
"144","16i-18","16i","18",42531,14,1
"145","28n-14","28n","14",42530,15,1
"146","28n-14","28n","14",42530,15,1
"147","28n-14","28n","14",42530,15,1
"148","28n-17","28n","17",42531,14,1
"149","28n-17","28n","17",42531,14,1
"150","28n-18","28n","18",42531,14,1
"151","28n-19","28n","19",42531,14,1
"152","30p-12","30p","12",42529,16,1
"153","30p-12","30p","12",42529,16,1
"154","30p-13","30p","13",42529,16,1
"155","30p-15","30p","15",42530,15,1
"156","30p-15","30p","15",42530,15,1
"157","30p-16","30p","16",42530,15,1
"158","30p-16","30p","16",42530,15,1
"159","30p-17","30p","17",42531,14,1
"160","30p-17","30p","17",42531,14,1
"161","35u-19","35u","19",42531,14,1
"162","70j-11","70j","11",42529,16,1
"163","70j-11","70j","11",42529,16,1
"164","70j-11","70j","11",42529,16,1
"165","70j-11","70j","11",42529,16,1
"166","70j-11","70j","11",42529,16,1
"167","70j-15","70j","15",42530,15,1
"168","75o-13","75o","13",42529,16,1
"169","GNDH-16","GNDH","16",42530,15,1
"170","Lgno-14","Lgno","14",42530,15,1
"171","Gno-13","Gno","13",42529,16,1
"172","1a-14","1a","14",42530,18,1
"173","1a-15","1a","15",42530,18,1
"174","4d-14","4d","14",42530,18,1
"175","4d-18","4d","18",42531,17,1
"176","4d-19","4d","19",42531,17,1
"177","11c-16","11c","16",42530,18,1
"178","16i-11","16i","11",42529,19,1
"179","16i-11","16i","11",42529,19,1
"180","16i-11","16i","11",42529,19,1
"181","16i-12","16i","12",42529,19,1
"182","16i-12","16i","12",42529,19,1
"183","16i-13","16i","13",42529,19,1
"184","16i-15","16i","15",42530,18,1
"185","16i-16","16i","16",42530,18,1
"186","16i-17","16i","17",42531,17,1
"187","16i-17","16i","17",42531,17,1
"188","30p-11","30p","11",42529,19,1
"189","30p-12","30p","12",42529,19,1
"190","30p-15","30p","15",42530,18,1
"191","70j-14","70j","14",42530,18,1
"192","GNDH-12","GNDH","12",42529,19,1
"193","PVEC-15","PVEC","15",42530,18,1
"194","7636-12","7636","12",42529,19,1
"195","1a-11","1a","11",42529,20,1
"196","1a-11","1a","11",42529,20,1
"197","1a-11","1a","11",42529,20,1
"198","1a-14","1a","14",42530,19,1
"199","1a-16","1a","16",42530,19,1
"200","1a-16","1a","16",42530,19,1
"201","1a-16","1a","16",42530,19,1
"202","1a-16","1a","16",42530,19,1
"203","1a-18","1a","18",42531,18,1
"204","1a-18","1a","18",42531,18,1
"205","1a-19","1a","19",42531,18,1
"206","1a-19","1a","19",42531,18,1
"207","1a-19","1a","19",42531,18,1
"208","2b-11","2b","11",42529,20,1
"209","2b-11","2b","11",42529,20,1
"210","2b-12","2b","12",42529,20,1
"211","2b-12","2b","12",42529,20,1
"212","2b-12","2b","12",42529,20,1
"213","2b-13","2b","13",42529,20,1
"214","2b-15","2b","15",42530,19,1
"215","2b-18","2b","18",42531,18,1
