"","trt","value","date","offspring","vialnum","date2","date3","trt_date","egg_laying_duration","cum_female","vial","interval","fecundity","trt_date2"
"127","1a-16","411+","42544",500,"16","1",14,"1a-16_42544",0.759027777778101,23,"1a",4,114.563029555622,"1a_14"
"128","1a-17","164","42544",164,"17","2",13,"1a-17_42544",0.772916666668607,12,"1a",4,70.7277628030569,"1a_13"
"129","1a-18","162","42544",162,"18","2",13,"1a-18_42544",0.772916666668607,29,"1a",4,28.9097499766911,"1a_13"
"130","1a-19","63","42544",63,"19","2",13,"1a-19_42544",0.772916666668607,27,"1a",4,12.0754716980829,"1a_13"
"131","2b-11","522+","42544",500,"11","0",15,"2b-11_42544",0.759027777778101,19,"2b",4,138.681562093647,"2b_15"
"132","2b-12","388","42544",388,"12","0",15,"2b-12_42544",0.759027777778101,17,"2b",4,120.277703029926,"2b_15"
"133","2b-13","361","42544",361,"13","0",15,"2b-13_42544",0.759027777778101,16,"2b",4,118.902104300041,"2b_15"
"134","2b-15","282","42544",282,"15","1",14,"2b-15_42544",0.759027777778101,17,"2b",4,87.4183305526779,"2b_14"
"135","2b-17","128","42544",128,"17","2",13,"2b-17_42544",0.772916666668607,13,"2b",4,50.9558366160861,"2b_13"
"136","2b-18","305","42544",305,"18","2",13,"2b-18_42544",0.772916666668607,25,"2b",4,63.1374663071191,"2b_13"
"137","2b-19","318","42544",318,"19","2",13,"2b-19_42544",0.772916666668607,15,"2b",4,109.71428571401,"2b_13"
"138","3c-11","386+","42544",500,"11","0",15,"3c-11_42544",0.759027777778101,23,"3c",4,114.563029555622,"3c_15"
"139","3c-12","379+","42544",500,"12","0",15,"3c-12_42544",0.759027777778101,25,"3c",4,105.397987191172,"3c_15"
"140","3c-13","339","42544",339,"13","0",15,"3c-13_42544",0.759027777778101,20,"3c",4,89.3247941445182,"3c_15"
"141","3c-14","458+","42544",500,"14","1",14,"3c-14_42544",0.759027777778101,24,"3c",4,109.789569990804,"3c_14"
"142","3c-15","471+","42544",500,"15","1",14,"3c-15_42544",0.759027777778101,24,"3c",4,109.789569990804,"3c_14"
"143","3c-16","378+","42544",500,"16","1",14,"3c-16_42544",0.759027777778101,31,"3c",4,84.9983767670741,"3c_14"
"144","3c-18","184","42544",184,"18","2",13,"3c-18_42544",0.772916666668607,29,"3c",4,32.8357654056244,"3c_13"
"145","3c-19","144","42544",144,"19","2",13,"3c-19_42544",0.772916666668607,24,"3c",4,31.0512129379274,"3c_13"
"146","4d-11","413+","42544",500,"11","0",15,"4d-11_42544",0.759027777778101,23,"4d",4,114.563029555622,"4d_15"
"147","4d-12","416+","42544",500,"12","0",15,"4d-12_42544",0.759027777778101,20,"4d",4,131.747483988965,"4d_15"
"148","4d-13","380","42544",380,"13","0",15,"4d-13_42544",0.759027777778101,21,"4d",4,95.3600836491556,"4d_15"
"149","4d-14","411+","42544",500,"14","1",14,"4d-14_42544",0.759027777778101,28,"4d",4,94.1053457064035,"4d_14"
"150","4d-15","365+","42544",500,"15","1",14,"4d-15_42544",0.759027777778101,17,"4d",4,154.997039987018,"4d_14"
"151","4d-16","421","42544",421,"16","1",14,"4d-16_42544",0.759027777778101,23,"4d",4,96.4620708858334,"4d_14"
"152","4d-17","253","42544",253,"17","2",13,"4d-17_42544",0.772916666668607,35,"4d",4,37.409318444265,"4d_13"
"153","4d-18","212","42544",212,"18","2",13,"4d-18_42544",0.772916666668607,42,"4d",4,26.1224489795263,"4d_13"
"154","4d-19","321","42544",321,"19","2",13,"4d-19_42544",0.772916666668607,15,"4d",4,110.749326145275,"4d_13"
"155","11c-11","471+","42544",500,"11","0",15,"11c-11_42544",0.759027777778101,24,"11c",4,109.789569990804,"11c_15"
"156","11c-12","415","42544",415,"12","0",15,"11c-12_42544",0.759027777778101,21,"11c",4,104.14324924842,"11c_15"
"157","11c-13","212","42544",212,"13","0",15,"11c-13_42544",0.759027777778101,14,"11c",4,79.8013331590302,"11c_15"
"158","11c-14","56","42544",56,"14","1",14,"11c-14_42544",0.765972222223354,7,"11c",4,41.7769718947705,"11c_14"
"159","11c-15","498","42544",498,"15","1",14,"11c-15_42544",0.765972222223354,27,"11c",4,96.3191296462765,"11c_14"
"160","11c-16","443","42544",443,"16","1",14,"11c-16_42544",0.765972222223354,22,"11c",4,105.154537212405,"11c_14"
"161","11c-17","322+","42544",500,"17","2",13,"11c-17_42544",0.772916666668607,17,"11c",4,152.211828127095,"11c_13"
"162","11c-18","444+","42544",500,"18","2",13,"11c-18_42544",0.772916666668607,32,"11c",4,80.8625336925194,"11c_13"
"163","11c-19","417","42544",417,"19","2",13,"11c-19_42544",0.772916666668607,23,"11c",4,93.8286651819981,"11c_13"
"164","13g-11","388","42544",388,"11","0",15,"13g-11_42544",0.770138888889051,18,"13g",4,111.956717763728,"13g_15"
"165","13g-12","405","42544",405,"12","0",15,"13g-12_42544",0.770138888889051,19,"13g",4,110.711404299725,"13g_15"
"166","13g-13","323","42544",323,"13","0",15,"13g-13_42544",0.770138888889051,19,"13g",4,88.2957619476821,"13g_15"
"167","13g-14","456","42544",456,"14","1",14,"13g-14_42544",0.770138888889051,30,"13g",4,78.9467989179275,"13g_14"
